date,revenue,active_users,churn_rate,cac,conversion_rate,company
2023-01-02,5007450.71,11958,0.0463,8507.62,0.0318,NovaTech Solutions Pvt. Ltd.
2023-01-09,5011487.95,12497,0.0465,8497.65,0.0325,NovaTech Solutions Pvt. Ltd.
2023-01-16,5023048.73,11908,0.0455,8490.43,0.0303,NovaTech Solutions Pvt. Ltd.
2023-01-23,5036565.69,11768,0.0456,8495.46,0.0306,NovaTech Solutions Pvt. Ltd.
2023-01-30,5081984.73,12028,0.0451,8492.88,0.0315,NovaTech Solutions Pvt. Ltd.
2023-02-06,5076663.84,11774,0.0458,8497.0,0.0317,NovaTech Solutions Pvt. Ltd.
2023-02-13,5080974.4,12699,0.045,8494.71,0.0328,NovaTech Solutions Pvt. Ltd.
2023-02-20,5086687.35,12230,0.0411,8493.36,0.0322,NovaTech Solutions Pvt. Ltd.
2023-02-27,5131077.0,12243,0.0448,8498.49,0.0305,NovaTech Solutions Pvt. Ltd.
2023-03-06,5124202.34,12077,0.0471,8501.72,0.0302,NovaTech Solutions Pvt. Ltd.
2023-03-13,5154861.26,12124,0.0436,8503.06,0.033,NovaTech Solutions Pvt. Ltd.
2023-03-20,5178969.2,12012,0.0444,8501.66,0.033,NovaTech Solutions Pvt. Ltd.
2023-03-27,5172812.39,12232,0.0428,8494.02,0.0328,NovaTech Solutions Pvt. Ltd.
2023-04-03,5215343.6,12290,0.047,8501.81,0.0314,NovaTech Solutions Pvt. Ltd.
2023-04-10,5215420.93,12797,0.0449,8507.82,0.0294,NovaTech Solutions Pvt. Ltd.
2023-04-17,5237328.54,12386,0.0444,8500.46,0.03,NovaTech Solutions Pvt. Ltd.
2023-04-24,5236704.92,12491,0.048,8497.41,0.0312,NovaTech Solutions Pvt. Ltd.
2023-05-01,5247473.64,12682,0.0457,8497.35,0.0325,NovaTech Solutions Pvt. Ltd.
2023-05-08,5271456.16,12722,0.0436,8498.36,0.0316,NovaTech Solutions Pvt. Ltd.
2023-05-15,5263047.28,12544,0.0455,8500.03,0.0318,NovaTech Solutions Pvt. Ltd.
2023-05-22,7654215.69,12353,0.0709,8495.99,0.0229,NovaTech Solutions Pvt. Ltd.
2023-05-29,5321060.76,13069,0.0453,8501.29,0.0319,NovaTech Solutions Pvt. Ltd.
2023-06-05,5301218.43,12520,0.0451,8512.32,0.0318,NovaTech Solutions Pvt. Ltd.
2023-06-12,5349523.21,12541,0.0427,8505.71,0.0328,NovaTech Solutions Pvt. Ltd.
2023-06-19,5371865.48,12303,0.0478,8492.99,0.0326,NovaTech Solutions Pvt. Ltd.
2023-06-26,5407856.83,12302,0.0439,8500.5,0.0315,NovaTech Solutions Pvt. Ltd.
2023-07-03,5366740.05,12644,0.0429,8502.37,0.0311,NovaTech Solutions Pvt. Ltd.
2023-07-10,5428249.02,12413,0.0444,8504.07,0.0308,NovaTech Solutions Pvt. Ltd.
2023-07-17,5423411.9,13064,0.0418,8500.92,0.0323,NovaTech Solutions Pvt. Ltd.
2023-07-24,5446727.34,12324,0.0424,8502.61,0.0323,NovaTech Solutions Pvt. Ltd.
2023-07-31,5453757.39,12823,0.0436,8501.16,0.0323,NovaTech Solutions Pvt. Ltd.
